epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.185,1.22526,1.69868,1.22635,0.77331,0.83465,0.89754,0.7041,0.94816,1.1746,1.05169,0.000413437,0.000413437,0.000413437
2,42.6458,1.06299,0.94411,1.12685,0.80671,0.87967,0.95378,0.739,0.95385,0.97167,1.1254,0.000813667,0.000813667,0.000813667
3,63.979,1.03219,0.84995,1.13624,0.85493,0.89139,0.98526,0.73412,0.98627,0.78959,1.16578,0.0011974,0.0011974,0.0011974
4,84.1927,1.02824,0.79148,1.13047,0.90565,0.89135,0.9296,0.73496,0.90759,0.93444,1.08622,0.00117575,0.00117575,0.00117575
5,104.418,1.00189,0.76153,1.12255,0.93058,0.75824,0.96203,0.72073,0.98861,0.90276,1.1138,0.001151,0.001151,0.001151
6,125.27,0.97945,0.71354,1.10681,0.85454,0.87895,0.95638,0.76628,0.85761,0.7854,1.07791,0.00112625,0.00112625,0.00112625
7,146.464,0.93052,0.66613,1.07317,0.7857,0.89173,0.93649,0.75757,0.85576,0.77027,1.04539,0.0011015,0.0011015,0.0011015
8,167.133,0.92567,0.64597,1.07341,0.88715,0.82787,0.95543,0.76448,0.9302,0.80184,1.09167,0.00107675,0.00107675,0.00107675
9,187.57,0.8964,0.62398,1.04396,0.94605,0.89868,0.98908,0.78275,0.91254,0.60639,1.08441,0.001052,0.001052,0.001052
10,208.898,0.87446,0.61716,1.05809,0.89982,0.95669,0.97254,0.74223,0.94352,0.61534,1.10205,0.00102725,0.00102725,0.00102725
11,229.602,0.86411,0.58323,1.04377,0.87391,0.92981,0.93488,0.74696,0.87808,0.70348,1.05692,0.0010025,0.0010025,0.0010025
12,251.027,0.91076,0.59789,1.06268,0.81505,0.91195,0.95327,0.73606,0.91444,0.68839,1.12811,0.00097775,0.00097775,0.00097775
13,271.809,0.82888,0.55952,1.0263,0.96601,0.85869,0.96622,0.77023,0.9427,0.67456,1.11238,0.000953,0.000953,0.000953
14,293.309,0.81876,0.53576,1.03087,0.93725,0.86807,0.9716,0.77273,0.93886,0.58648,1.09786,0.00092825,0.00092825,0.00092825
